"country_description.country_id";"country_description.language_id";"country_description.name"
"1";"1";"Afghanistan";
"2";"1";"Albania";
"3";"1";"Algeria";
"4";"1";"American Samoa";
"5";"1";"Andorra";
"6";"1";"Angola";
"7";"1";"Anguilla";
"8";"1";"Antarctica";
"9";"1";"Antigua and Barbuda";
"10";"1";"Argentina";
"11";"1";"Armenia";
"12";"1";"Aruba";
"13";"1";"Australia";
"14";"1";"Austria";
"15";"1";"Azerbaijan";
"16";"1";"Bahamas";
"17";"1";"Bahrain";
"18";"1";"Bangladesh";
"19";"1";"Barbados";
"20";"1";"Belarus";
"21";"1";"Belgium";
"22";"1";"Belize";
"23";"1";"Benin";
"24";"1";"Bermuda";
"25";"1";"Bhutan";
"26";"1";"Bolivia";
"27";"1";"Bosnia and Herzegovina";
"28";"1";"Botswana";
"29";"1";"Bouvet Island";
"30";"1";"Brazil";
"31";"1";"British Indian Ocean Territory";
"32";"1";"Brunei Darussalam";
"33";"1";"Bulgaria";
"34";"1";"Burkina Faso";
"35";"1";"Burundi";
"36";"1";"Cambodia";
"37";"1";"Cameroon";
"38";"1";"Canada";
"39";"1";"Cape Verde";
"40";"1";"Cayman Islands";
"41";"1";"Central African Republic";
"42";"1";"Chad";
"43";"1";"Chile";
"44";"1";"China";
"45";"1";"Christmas Island";
"46";"1";"Cocos (Keeling) Islands";
"47";"1";"Colombia";
"48";"1";"Comoros";
"49";"1";"Congo, Republic of the";
"50";"1";"Cook Islands";
"51";"1";"Costa Rica";
"52";"1";"Ivory Coast";
"53";"1";"Croatia";
"54";"1";"Cuba";
"55";"1";"Cyprus";
"56";"1";"Czech Republic";
"57";"1";"Denmark";
"58";"1";"Djibouti";
"59";"1";"Dominica";
"60";"1";"Dominican Republic";
"61";"1";"East Timor";
"62";"1";"Ecuador";
"63";"1";"Egypt";
"64";"1";"El Salvador";
"65";"1";"Equatorial Guinea";
"66";"1";"Eritrea";
"67";"1";"Estonia";
"68";"1";"Ethiopia";
"69";"1";"Falkland Islands (Malvinas)";
"70";"1";"Faroe Islands";
"71";"1";"Fiji";
"72";"1";"Finland";
"74";"1";"France";
"75";"1";"French Guiana";
"76";"1";"French Polynesia";
"77";"1";"French Southern Territories";
"78";"1";"Gabon";
"79";"1";"Gambia";
"80";"1";"Georgia";
"81";"1";"Germany";
"82";"1";"Ghana";
"83";"1";"Gibraltar";
"84";"1";"Greece";
"85";"1";"Greenland";
"86";"1";"Grenada";
"87";"1";"Guadeloupe";
"88";"1";"Guam";
"89";"1";"Guatemala";
"90";"1";"Guinea";
"91";"1";"Guinea-Bissau";
"92";"1";"Guyana";
"93";"1";"Haiti";
"94";"1";"Heard and McDonald Islands";
"95";"1";"Honduras";
"96";"1";"Hong Kong";
"97";"1";"Hungary";
"98";"1";"Iceland";
"99";"1";"India";
"100";"1";"Indonesia";
"101";"1";"Iran, Islamic Republic of";
"102";"1";"Iraq";
"103";"1";"Ireland";
"104";"1";"Israel";
"105";"1";"Italy";
"106";"1";"Jamaica";
"107";"1";"Japan";
"108";"1";"Jordan";
"109";"1";"Kazakhstan";
"110";"1";"Kenya";
"111";"1";"Kiribati";
"112";"1";"North Korea";
"113";"1";"Korea, Republic of";
"114";"1";"Kuwait";
"115";"1";"Kyrgyzstan";
"116";"1";"Lao People&#39;s Democratic Republic";
"117";"1";"Latvia";
"118";"1";"Lebanon";
"119";"1";"Lesotho";
"120";"1";"Liberia";
"121";"1";"Libyan Arab Jamahiriya";
"122";"1";"Liechtenstein";
"123";"1";"Lithuania";
"124";"1";"Luxembourg";
"125";"1";"Macau";
"126";"1";"Macedonia (FYROM)";
"127";"1";"Madagascar";
"128";"1";"Malawi";
"129";"1";"Malaysia";
"130";"1";"Maldives";
"131";"1";"Mali";
"132";"1";"Malta";
"133";"1";"Marshall Islands";
"134";"1";"Martinique";
"135";"1";"Mauritania";
"136";"1";"Mauritius";
"137";"1";"Mayotte";
"138";"1";"Mexico";
"139";"1";"Micronesia, Federated States of";
"140";"1";"Moldova, Republic of";
"141";"1";"Monaco";
"142";"1";"Mongolia";
"143";"1";"Montserrat";
"144";"1";"Morocco";
"145";"1";"Mozambique";
"146";"1";"Myanmar";
"147";"1";"Namibia";
"148";"1";"Nauru";
"149";"1";"Nepal";
"150";"1";"Netherlands";
"151";"1";"Netherlands Antilles";
"152";"1";"New Caledonia";
"153";"1";"New Zealand";
"154";"1";"Nicaragua";
"155";"1";"Niger";
"156";"1";"Nigeria";
"157";"1";"Niue";
"158";"1";"Norfolk Island";
"159";"1";"Northern Mariana Islands";
"160";"1";"Norway";
"161";"1";"Oman";
"162";"1";"Pakistan";
"163";"1";"Palau";
"164";"1";"Panama";
"165";"1";"Papua New Guinea";
"166";"1";"Paraguay";
"167";"1";"Peru";
"168";"1";"Philippines";
"169";"1";"Pitcairn";
"170";"1";"Poland";
"171";"1";"Portugal";
"172";"1";"Puerto Rico";
"173";"1";"Qatar";
"174";"1";"Reunion";
"175";"1";"Romania";
"176";"1";"Russian Federation";
"177";"1";"Rwanda";
"178";"1";"Saint Kitts and Nevis";
"179";"1";"Saint Lucia";
"180";"1";"Saint Vincent and the Grenadines";
"181";"1";"Samoa";
"182";"1";"San Marino";
"183";"1";"Sao Tome and Principe";
"184";"1";"Saudi Arabia";
"185";"1";"Senegal";
"186";"1";"Seychelles";
"187";"1";"Sierra Leone";
"188";"1";"Singapore";
"189";"1";"Slovak Republic";
"190";"1";"Slovenia";
"191";"1";"Solomon Islands";
"192";"1";"Somalia";
"193";"1";"South Africa";
"194";"1";"South Georgia & South Sandwich Islands";
"195";"1";"Spain";
"196";"1";"Sri Lanka";
"197";"1";"St. Helena";
"198";"1";"St. Pierre and Miquelon";
"199";"1";"Sudan";
"200";"1";"Suriname";
"201";"1";"Svalbard and Jan Mayen Islands";
"202";"1";"Swaziland";
"203";"1";"Sweden";
"204";"1";"Switzerland";
"205";"1";"Syrian Arab Republic";
"206";"1";"Taiwan";
"207";"1";"Tajikistan";
"208";"1";"Tanzania, United Republic of";
"209";"1";"Thailand";
"210";"1";"Togo";
"211";"1";"Tokelau";
"212";"1";"Tonga";
"213";"1";"Trinidad and Tobago";
"214";"1";"Tunisia";
"215";"1";"Turkey";
"216";"1";"Turkmenistan";
"217";"1";"Turks and Caicos Islands";
"218";"1";"Tuvalu";
"219";"1";"Uganda";
"220";"1";"Ukraine";
"221";"1";"United Arab Emirates";
"222";"1";"United Kingdom";
"223";"1";"United States";
"224";"1";"United States Minor Outlying Islands";
"225";"1";"Uruguay";
"226";"1";"Uzbekistan";
"227";"1";"Vanuatu";
"228";"1";"Vatican City State (Holy See)";
"229";"1";"Venezuela";
"230";"1";"Vietnam";
"231";"1";"Virgin Islands (British)";
"232";"1";"Virgin Islands (U.S.)";
"233";"1";"Wallis and Futuna Islands";
"234";"1";"Western Sahara";
"235";"1";"Yemen";
"237";"1";"Congo, Democratic Republic of the";
"238";"1";"Zambia";
"239";"1";"Zimbabwe";
"242";"1";"Montenegro";
"243";"1";"Serbia";
"244";"1";"Åland Islands";
"245";"1";"Bonaire, Sint Eustatius and Saba";
"246";"1";"Curaçao";
"247";"1";"Palestinian Territory, Occupied";
"248";"1";"South Sudan";
"249";"1";"St. Barthélemy";
"250";"1";"St. Martin (French part)";
"251";"1";"Canary Islands";
"252";"1";"Ascension Island (British)";
"253";"1";"Kosovo, Republic of";
"254";"1";"Isle of Man";
"255";"1";"Tristan da Cunha";
"256";"1";"Jersey";
"257";"1";"Guernsey";
"260";"1";"Sint Maarten";
"261";"1";"Spanish Territories of North Africa";
